symbol,inputdata,revenuedata
554,-0.1097,0.02994
554,0.0539,0.06172
554,0.35127,0.06433
554,-0.05661,0.03423
554,-0.13369,0.09766
554,-0.08245,0.00609
555,-0.14483,-1
555,-0.06089,52.11586
555,0.01659,0.13547
555,-0.01841,0.33537
555,1.31978,0.19217
555,0.51008,0.17527
555,-0.16514,0.51636
555,0.01137,0.19162
555,-0.20946,0.28665
557,-0.09588,1.54186
557,0.03571,-0.33939
557,-0.08686,0.97096
557,-0.07859,0.70491
557,-0.21956,-0.00212
557,-0.02004,-0.1357
558,0.24088,1.48723
558,0.08285,-0.23457
558,0.21667,0.1386
558,-0.09824,0.39413
558,0.05369,0.22884
558,0.01654,5.62362
558,0.62122,0.05322
558,-0.10132,0.4199
558,-0.39607,-0.40136
559,-0.26399,0.38664
559,0.23856,0.10968
559,-0.22164,-0.03544
559,-0.09728,0.1685
559,0.20301,0.24135
559,0.39671,0.15274
559,0.16357,0.12308
559,-0.06636,0.07693
559,-0.05123,-0.12024
560,0.20364,-0.21321
560,0.00573,-0.19685
560,0.03087,-0.18581
560,0.00916,-0.17353
560,0.08294,-0.21075
560,-0.10031,-0.51567
560,-0.12584,-0.39611
560,-0.1295,0.471
560,-0.08669,-0.12394
561,-0.19503,0.92752
561,0.00444,0.11735
561,0.25359,0.51176
561,-0.00416,0.18842
561,-0.05644,0.92053
561,0.16687,1.82733
561,0.08098,1.33737
561,-0.01011,0.67387
561,-0.20217,1.35193
563,-0.11423,0.36744
563,0.02808,0.64414
563,0.14381,-0.47651
563,-0.00412,0.51351
563,-0.46041,0.10829
563,-0.06077,0.4434
570,-0.20288,-0.0675
570,-0.11265,-0.18386
570,0.01958,-0.10763
570,-0.1873,-0.03783
570,-0.08599,-0.19569
570,0.19241,0.09116
570,-0.05947,-1
570,-0.09897,-0.22211
570,-0.092,-0.19114
571,-0.09125,0.75297
571,-0.17703,0.26303
571,0.11943,0.13736
571,0.00289,0.38527
571,-0.13653,0.20409
571,-0.01551,-1
571,0.07952,0.32096
571,0.01934,0.61541
571,0.26559,0.10536
571,-0.11077,1.59661
572,-0.16671,0.99168
572,-0.07041,-0.01754
572,-0.13898,-0.14731
572,-0.09695,0.14466
572,0.31576,0.16815
572,0.09205,0.11823
572,0.04791,-0.33625
572,-0.03919,-0.26901
572,-0.16361,-0.44159
572,-0.00428,-1
573,0.11709,-0.00667
573,0.04111,-0.17039
573,0.086,0.4033
573,-0.07569,-0.05059
573,0.22741,1.56646
573,0.10344,0.96236
573,0.00378,-0.5271
573,0.01083,-0.84096
573,-0.21679,2.48622
576,-0.10656,-0.45029
576,0.11139,-0.10136
576,0.0823,0.12984
576,0.1057,0.47121
576,0.10418,0.21212
576,0.04569,-0.00557
576,-0.08115,0.07404
576,-0.15775,-0.04663
576,-0.01291,3.89361
581,-0.1798,0.48937
581,0.04766,0.23081
581,-0.00655,0.02589
581,-0.01949,-0.04332
587,-0.46797,-0.49272
589,0.71905,0.2461
589,-0.0939,0.23906
589,-0.36264,0.13513
589,0.03529,-0.0739
589,0.05263,0.25961
589,0.00174,0.03044
589,-0.05098,0.00712
589,-0.15044,0.64512
589,0.00328,0.88922
590,-0.41674,0.43093
590,0.07113,-0.06797
590,0.01407,-0.07486
